Mots conjugués;Infinitif
abandonne;abandonner
abandonnes;abandonner
abandonne;abandonner
abandonnons;abandonner
abandonnez;abandonner
abandonnent;abandonner
abats;abattre
abats;abattre
abat;abattre
abattons;abattre
abattez;abattre
abattent;abattre
aboie;aboyer
aboies;aboyer
aboie;aboyer
aboyons;aboyer
aboyez;aboyer
aboient;aboyer
absorbe;absorber
absorbes;absorber
absorbe;absorber
absorbons;absorber
absorbez;absorber
absorbent;absorber
accepte;accepter
acceptes;accepter
accepte;accepter
acceptons;accepter
acceptez;accepter
acceptent;accepter
acclame;acclamer
acclames;acclamer
acclame;acclamer
acclamons;acclamer
acclamez;acclamer
acclament;acclamer
accompagne;accompagner
accompagnes;accompagner
accompagne;accompagner
accompagnons;accompagner
accompagnez;accompagner
accompagnent;accompagner
accomplis;accomplir
accomplis;accomplir
accomplit;accomplir
accomplissons;accomplir
accomplissez;accomplir
accomplissent;accomplir
accorde;accorder
accordes;accorder
accorde;accorder
accordons;accorder
accordez;accorder
accordent;accorder
accouche;accoucher
accouches;accoucher
accouche;accoucher
accouchons;accoucher
accouchez;accoucher
accouchent;accoucher
accroche;accrocher
accroches;accrocher
accroche;accrocher
accrochons;accrocher
accrochez;accrocher
accrochent;accrocher
accrédite;accréditer
accrédites;accréditer
accrédite;accréditer
accréditons;accréditer
accréditez;accréditer
accréditent;accréditer
accuse;accuser
accuses;accuser
accuse;accuser
accusons;accuser
accusez;accuser
accusent;accuser
accède;accéder
accèdes;accéder
accède;accéder
accédons;accéder
accédez;accéder
accèdent;accéder
achemine;acheminer
achemines;acheminer
achemine;acheminer
acheminons;acheminer
acheminez;acheminer
acheminent;acheminer
achète;acheter
achètes;acheter
achète;acheter
achetons;acheter
achetez;acheter
achètent;acheter
acquiers;acquérir
acquiers;acquérir
acquiert;acquérir
acquérons;acquérir
acquérez;acquérir
acquièrent;acquérir
adapte;adapter
adaptes;adapter
adapte;adapter
adaptons;adapter
adaptez;adapter
adaptent;adapter
additionne;additionner
additionnes;additionner
additionne;additionner
additionnons;additionner
additionnez;additionner
additionnent;additionner
adhère;adhérer
adhères;adhérer
adhère;adhérer
adhérons;adhérer
adhérez;adhérer
adhèrent;adhérer
admire;admirer
admires;admirer
admire;admirer
admirons;admirer
admirez;admirer
admirent;admirer
admire;admirer
admires;admirer
admire;admirer
admirons;admirer
admirez;admirer
admirent;admirer
adopte;adopter
adoptes;adopter
adopte;adopter
adoptons;adopter
adoptez;adopter
adoptent;adopter
affiche;afficher
affiches;afficher
affiche;afficher
affichons;afficher
affichez;afficher
affichent;afficher
affole;affoler
affoles;affoler
affole;affoler
affolons;affoler
affolez;affoler
affolent;affoler
affûte;affûter
affûtes;affûter
affûte;affûter
affûtons;affûter
affûtez;affûter
affûtent;affûter
m'agenouille;agenouiller
t'agenouilles;agenouiller
s'agenouille;agenouiller
nous agenouillons;agenouiller
vous agenouillez;agenouiller
s'agenouillent;agenouiller
agite;agiter
agites;agiter
agite;agiter
agitons;agiter
agitez;agiter
agitent;agiter
agrafe;agrafer
agrafes;agrafer
agrafe;agrafer
agrafons;agrafer
agrafez;agrafer
agrafent;agrafer
agrandis;agrandir
agrandis;agrandir
agrandit;agrandir
agrandissons;agrandir
agrandissez;agrandir
